817501462 3451853807 1786904099 2960543463 
2841530226 3250136854 1348032541 2517420686 
1773097161 3446897359 2601219476 830664002 
1734461208 162859569 1473856190 1987923919 
3171884074 2076963764 952013263 2857565579 
2646547144 1248992947 3509994213 242142980 
1264167136 1421935456 1813189744 1253084334 
1394452427 4258177416 3048364833 276788480 
1087577432 3757481077 157796388 2959448329 
4143169233 1829251030 3216876244 848267669 
2641551727 2208109164 4201906114 767147589 
1523065160 2801388545 1527385032 68026739 
2181889414 52794416 2993157586 324623538 
662751136 399665946 1947808189 1735025708 
1757084592 2342071757 2782100120 1939394727 
2809065416 2259423924 614108288 1669537170 
283597073 1309551667 692479862 1626769607 
2969443548 601479285 3932717787 1198212052 
407109486 3507028876 3234120172 2040758214 
3163468300 1752035430 3916370586 2899404688 
2683268206 3838089227 3072621936 390508294 
1951405896 2522260374 1616860854 533946402 
1767112052 936241847 1364348701 822923080 
